song,performer,week_id,week_position,year,weeks_on_chart
Mood,24kGoldn Featuring iann dior,2020-10-03,5,2020,7
Montero (Call Me By Your Name),Lil Nas X,2021-05-22,10,2021,7
Mood,24kGoldn Featuring iann dior,2020-11-07,3,2020,12
Drivers License,Olivia Rodrigo,2021-04-10,5,2021,12
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-05-15,2,2021,9
Mood,24kGoldn Featuring iann dior,2020-10-17,4,2020,9
Drivers License,Olivia Rodrigo,2021-03-20,5,2021,9
Dynamite,BTS,2020-10-31,7,2020,9
Franchise,Travis Scott Featuring Young Thug & M.I.A.,2020-12-05,78,2020,9
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-05-22,1,2021,10
Mood,24kGoldn Featuring iann dior,2020-10-24,1,2020,10
Drivers License,Olivia Rodrigo,2021-03-27,3,2021,10
Mood,24kGoldn Featuring iann dior,2020-12-05,2,2020,16
Levitating,Dua Lipa Featuring DaBaby,2021-01-30,6,2021,16
Drivers License,Olivia Rodrigo,2021-05-08,10,2021,16
Dynamite,BTS,2020-12-19,24,2020,16
Mood,24kGoldn Featuring iann dior,2020-10-31,1,2020,11
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-05-29,4,2021,11
Drivers License,Olivia Rodrigo,2021-04-03,4,2021,11
Dynamite,BTS,2020-11-14,16,2020,11
Mood,24kGoldn Featuring iann dior,2021-02-06,2,2021,25
Levitating,Dua Lipa Featuring DaBaby,2021-04-03,7,2021,25
Mood,24kGoldn Featuring iann dior,2021-02-13,2,2021,26
Levitating,Dua Lipa Featuring DaBaby,2021-04-10,7,2021,26
Mood,24kGoldn Featuring iann dior,2021-02-20,5,2021,27
Levitating,Dua Lipa Featuring DaBaby,2021-04-17,7,2021,27
Levitating,Dua Lipa Featuring DaBaby,2021-04-24,6,2021,28
Mood,24kGoldn Featuring iann dior,2021-02-27,7,2021,28
Levitating,Dua Lipa Featuring DaBaby,2021-05-01,5,2021,29
Mood,24kGoldn Featuring iann dior,2021-03-06,7,2021,29
Levitating,Dua Lipa Featuring DaBaby,2021-05-08,5,2021,30
Mood,24kGoldn Featuring iann dior,2021-03-13,7,2021,30
Levitating,Dua Lipa Featuring DaBaby,2021-05-15,4,2021,31
Mood,24kGoldn Featuring iann dior,2021-03-20,10,2021,31
Levitating,Dua Lipa Featuring DaBaby,2021-05-22,2,2021,32
Mood,24kGoldn Featuring iann dior,2021-03-27,8,2021,32
Levitating,Dua Lipa Featuring DaBaby,2021-05-29,3,2021,33
Mood,24kGoldn Featuring iann dior,2021-04-03,10,2021,33
Mood,24kGoldn Featuring iann dior,2021-04-10,9,2021,34
Mood,24kGoldn Featuring iann dior,2021-04-17,13,2021,35
Mood,24kGoldn Featuring iann dior,2021-04-24,18,2021,36
Mood,24kGoldn Featuring iann dior,2021-05-01,19,2021,37
Mood,24kGoldn Featuring iann dior,2021-05-08,20,2021,38
Mood,24kGoldn Featuring iann dior,2021-05-15,24,2021,39
Lemon Pepper Freestyle,Drake Featuring Rick Ross,2021-04-10,70,2021,4
Drivers License,Olivia Rodrigo,2021-02-20,1,2021,5
Dynamite,BTS,2020-10-03,1,2020,5
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-04-17,1,2021,5
Mood,24kGoldn Featuring iann dior,2020-09-19,6,2020,5
Montero (Call Me By Your Name),Lil Nas X,2021-05-08,7,2021,5
Mood,24kGoldn Featuring iann dior,2020-12-26,5,2020,19
Levitating,Dua Lipa Featuring DaBaby,2021-02-20,8,2021,19
Drivers License,Olivia Rodrigo,2021-05-29,24,2021,19
Mood,24kGoldn Featuring iann dior,2021-01-02,7,2021,20
Rain On Me,Lady Gaga & Ariana Grande,2020-09-05,55,2020,14
Stuck With U,Ariana Grande & Justin Bieber,2020-08-22,79,2020,14
Cardigan,Taylor Swift,2020-11-07,96,2020,14
Rockstar,DaBaby Featuring Roddy Ricch,2020-08-08,2,2020,15
Savage,Megan Thee Stallion,2020-07-04,2,2020,15
Say So,Doja Cat Featuring Nicki Minaj,2020-04-25,5,2020,15
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-02-20,6,2021,15
Save Your Tears,The Weeknd & Ariana Grande,2021-04-17,6,2021,15
Positions,Ariana Grande,2021-02-13,7,2021,15
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-10-03,9,2020,15
Rain On Me,Lady Gaga & Ariana Grande,2020-09-12,34,2020,15
Stuck With U,Ariana Grande & Justin Bieber,2020-08-29,90,2020,15
Rockstar,DaBaby Featuring Roddy Ricch,2020-08-15,2,2020,16
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-02-27,2,2021,16
Savage,Megan Thee Stallion,2020-07-11,4,2020,16
Save Your Tears,The Weeknd & Ariana Grande,2021-04-24,5,2021,16
Say So,Doja Cat Featuring Nicki Minaj,2020-05-02,5,2020,16
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-10-10,8,2020,16
Positions,Ariana Grande,2021-02-20,9,2021,16
Rain On Me,Lady Gaga & Ariana Grande,2020-09-19,37,2020,16
Stuck With U,Ariana Grande & Justin Bieber,2020-09-05,89,2020,16
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-10-17,1,2020,17
Rockstar,DaBaby Featuring Roddy Ricch,2020-08-22,2,2020,17
Savage,Megan Thee Stallion,2020-07-18,4,2020,17
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-03-06,4,2021,17
Save Your Tears,The Weeknd & Ariana Grande,2021-05-01,6,2021,17
Say So,Doja Cat Featuring Nicki Minaj,2020-05-09,6,2020,17
Positions,Ariana Grande,2021-02-27,10,2021,17
Rain On Me,Lady Gaga & Ariana Grande,2020-09-26,37,2020,17
Say So,Doja Cat Featuring Nicki Minaj,2020-04-18,8,2020,14
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-09-26,8,2020,14
Positions,Ariana Grande,2021-03-20,15,2021,20
Rain On Me,Lady Gaga & Ariana Grande,2020-10-17,65,2020,20
Rockstar,DaBaby Featuring Roddy Ricch,2020-09-19,4,2020,21
Say So,Doja Cat Featuring Nicki Minaj,2020-06-06,5,2020,21
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-11-14,6,2020,21
Save Your Tears,The Weeknd & Ariana Grande,2021-05-29,9,2021,21
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-04-03,11,2021,21
Savage,Megan Thee Stallion,2020-08-15,13,2020,21
Positions,Ariana Grande,2021-03-27,17,2021,21
Rockstar,DaBaby Featuring Roddy Ricch,2020-09-26,4,2020,22
Say So,Doja Cat Featuring Nicki Minaj,2020-06-13,4,2020,22
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-11-21,9,2020,22
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-04-10,14,2021,22
Savage,Megan Thee Stallion,2020-08-22,16,2020,22
Positions,Ariana Grande,2021-04-03,21,2021,22
Say So,Doja Cat Featuring Nicki Minaj,2020-06-20,4,2020,23
Rockstar,DaBaby Featuring Roddy Ricch,2020-10-03,6,2020,23
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-11-28,11,2020,23
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-04-17,15,2021,23
Savage,Megan Thee Stallion,2020-08-29,20,2020,23
Positions,Ariana Grande,2021-04-10,25,2021,23
Say So,Doja Cat Featuring Nicki Minaj,2020-06-27,6,2020,24
Rockstar,DaBaby Featuring Roddy Ricch,2020-10-10,7,2020,24
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-12-05,19,2020,24
Savage,Megan Thee Stallion,2020-09-05,20,2020,24
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-04-24,21,2021,24
Positions,Ariana Grande,2021-04-17,24,2021,24
Say So,Doja Cat Featuring Nicki Minaj,2020-07-04,6,2020,25
Rockstar,DaBaby Featuring Roddy Ricch,2020-10-17,7,2020,25
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-05-01,26,2021,25
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-12-12,29,2020,25
Savage,Megan Thee Stallion,2020-09-12,30,2020,25
Positions,Ariana Grande,2021-04-24,31,2021,25
Say So,Doja Cat Featuring Nicki Minaj,2020-07-11,6,2020,26
Rockstar,DaBaby Featuring Roddy Ricch,2020-10-24,7,2020,26
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-05-08,27,2021,26
Savage,Megan Thee Stallion,2020-09-19,32,2020,26
Positions,Ariana Grande,2021-05-01,33,2021,26
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-12-19,44,2020,26
Rockstar,DaBaby Featuring Roddy Ricch,2020-10-31,8,2020,27
Say So,Doja Cat Featuring Nicki Minaj,2020-07-18,9,2020,27
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-05-15,29,2021,27
Positions,Ariana Grande,2021-05-08,34,2021,27
Savage,Megan Thee Stallion,2020-09-26,40,2020,27
Rockstar,DaBaby Featuring Roddy Ricch,2020-11-07,11,2020,28
Say So,Doja Cat Featuring Nicki Minaj,2020-07-25,18,2020,28
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-05-22,36,2021,28
Positions,Ariana Grande,2021-05-15,37,2021,28
Savage,Megan Thee Stallion,2020-10-03,48,2020,28
Rockstar,DaBaby Featuring Roddy Ricch,2020-11-14,13,2020,29
Say So,Doja Cat Featuring Nicki Minaj,2020-08-01,21,2020,29
Positions,Ariana Grande,2021-05-22,37,2021,29
Rockstar,DaBaby Featuring Roddy Ricch,2020-11-21,14,2020,30
Say So,Doja Cat Featuring Nicki Minaj,2020-08-08,27,2020,30
Rockstar,DaBaby Featuring Roddy Ricch,2020-11-28,17,2020,31
Say So,Doja Cat Featuring Nicki Minaj,2020-08-15,33,2020,31
Rockstar,DaBaby Featuring Roddy Ricch,2020-12-05,26,2020,32
Say So,Doja Cat Featuring Nicki Minaj,2020-08-22,33,2020,32
Rockstar,DaBaby Featuring Roddy Ricch,2020-12-12,35,2020,33
Say So,Doja Cat Featuring Nicki Minaj,2020-08-29,43,2020,33
Rockstar,DaBaby Featuring Roddy Ricch,2020-12-19,42,2020,34
Say So,Doja Cat Featuring Nicki Minaj,2020-09-05,47,2020,34
Say So,Doja Cat Featuring Nicki Minaj,2020-09-12,46,2020,35
Mood,24kGoldn Featuring iann dior,2021-05-22,24,2021,40
Mood,24kGoldn Featuring iann dior,2021-05-29,37,2021,41
Jingle Bell Rock,Bobby Helms,2021-01-02,3,2021,35
Jingle Bell Rock,Bobby Helms,2021-01-09,15,2021,36
Stuck With U,Ariana Grande & Justin Bieber,2020-09-12,91,2020,17
Say So,Doja Cat Featuring Nicki Minaj,2020-05-16,1,2020,18
Save Your Tears,The Weeknd & Ariana Grande,2021-05-08,1,2021,18
Rockstar,DaBaby Featuring Roddy Ricch,2020-08-29,3,2020,18
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-03-13,4,2021,18
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-10-24,6,2020,18
Savage,Megan Thee Stallion,2020-07-25,6,2020,18
