song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,year
HIGHEST IN THE ROOM,Travis Scott,2/1/2020,17,15.0,1,16,2020
Goodbyes,Post Malone Featuring Young Thug,11/2/2019,17,13.0,3,16,2019
I Hope,Gabby Barrett Featuring Charlie Puth,4/25/2020,17,20.0,17,16,2020
Heartless,The Weeknd,3/21/2020,21,17.0,1,16,2020
Dynamite,BTS,12/19/2020,24,10.0,1,16,2020
Lose You To Love Me,Selena Gomez,1/4/2020,18,12.0,1,10,2020
Heartless,The Weeknd,2/8/2020,19,19.0,1,10,2020
HIGHEST IN THE ROOM,Travis Scott,12/21/2019,25,20.0,1,10,2019
Levitating,Dua Lipa Featuring DaBaby,12/19/2020,27,26.0,20,10,2020
Go Crazy,Chris Brown & Young Thug,7/25/2020,29,28.0,28,10,2020
ME!,Taylor Swift Featuring Brendon Urie,7/6/2019,31,15.0,2,10,2019
Godzilla,Eminem Featuring Juice WRLD,4/4/2020,38,23.0,3,10,2020
I Hope,Gabby Barrett Featuring Charlie Puth,3/14/2020,51,45.0,44,10,2020
Forever After All,Luke Combs,1/9/2021,55,73.0,2,10,2021
Gooba,6ix9ine,7/25/2020,100,81.0,3,10,2020
Mood,24kGoldn Featuring iann dior,10/31/2020,1,1.0,1,11,2020
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5/29/2021,4,1.0,1,11,2021
Drivers License,Olivia Rodrigo,4/3/2021,4,3.0,1,11,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,11/7/2020,4,3.0,2,11,2020
Memories,Maroon 5,12/14/2019,5,4.0,4,11,2019
I Don't Care,Ed Sheeran & Justin Bieber,8/3/2019,6,3.0,2,11,2019
Life Is Good,Future Featuring Drake,4/4/2020,6,4.0,2,11,2020
Good As Hell,Lizzo,11/16/2019,6,6.0,6,11,2019
Holy,Justin Bieber Featuring Chance The Rapper,12/12/2020,7,6.0,3,11,2020
Goodbyes,Post Malone Featuring Young Thug,9/28/2019,8,3.0,3,11,2019
Intentions,Justin Bieber Featuring Quavo,5/2/2020,8,9.0,8,11,2020
Lose You To Love Me,Selena Gomez,1/11/2020,10,18.0,1,11,2020
Middle Child,J. Cole,4/13/2019,10,7.0,4,11,2019
Go Crazy,Chris Brown & Young Thug,8/1/2020,10,29.0,10,11,2020
If I Can't Have You,Shawn Mendes,7/27/2019,13,14.0,2,11,2019
Don't Start Now,Dua Lipa,1/25/2020,14,14.0,14,11,2020
Dynamite,BTS,11/14/2020,16,12.0,1,11,2020
Heartless,The Weeknd,2/15/2020,17,19.0,1,11,2020
HIGHEST IN THE ROOM,Travis Scott,12/28/2019,27,25.0,1,11,2019
Levitating,Dua Lipa Featuring DaBaby,12/26/2020,27,27.0,20,11,2020
Mood,24kGoldn Featuring iann dior,2/6/2021,2,3.0,1,25,2021
Happier,Marshmello & Bastille,2/16/2019,2,8.0,2,25,2019
Don't Start Now,Dua Lipa,5/2/2020,4,4.0,2,25,2020
Levitating,Dua Lipa Featuring DaBaby,4/3/2021,7,7.0,5,25,2021
Memories,Maroon 5,3/21/2020,13,9.0,2,25,2020
Go Crazy,Chris Brown & Young Thug,11/7/2020,16,15.0,9,25,2020
Life Is Good,Future Featuring Drake,7/11/2020,18,21.0,2,25,2020
I Don't Care,Ed Sheeran & Justin Bieber,11/9/2019,20,16.0,2,25,2019
Good As Hell,Lizzo,2/22/2020,20,16.0,3,25,2020
I Hope,Gabby Barrett Featuring Charlie Puth,6/27/2020,23,18.0,16,25,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2/13/2021,24,22.0,2,25,2021
Intentions,Justin Bieber Featuring Quavo,8/8/2020,28,22.0,5,25,2020
Middle Child,J. Cole,7/20/2019,32,43.0,4,25,2019
Dynamite,BTS,2/20/2021,43,46.0,1,25,2021
Forever After All,Luke Combs,4/24/2021,44,45.0,2,25,2021
Holy,Justin Bieber Featuring Chance The Rapper,3/20/2021,49,29.0,3,25,2021
Mood,24kGoldn Featuring iann dior,2/13/2021,2,2.0,1,26,2021
Happier,Marshmello & Bastille,2/23/2019,6,2.0,2,26,2019
Don't Start Now,Dua Lipa,5/9/2020,7,4.0,2,26,2020
Levitating,Dua Lipa Featuring DaBaby,4/10/2021,7,7.0,5,26,2021
Memories,Maroon 5,3/28/2020,12,13.0,2,26,2020
Go Crazy,Chris Brown & Young Thug,11/14/2020,15,16.0,9,26,2020
I Hope,Gabby Barrett Featuring Charlie Puth,7/4/2020,17,23.0,16,26,2020
I Don't Care,Ed Sheeran & Justin Bieber,11/16/2019,20,20.0,2,26,2019
Good As Hell,Lizzo,2/29/2020,22,20.0,3,26,2020
Life Is Good,Future Featuring Drake,7/18/2020,24,18.0,2,26,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2/20/2021,30,24.0,2,26,2021
Intentions,Justin Bieber Featuring Quavo,8/15/2020,32,28.0,5,26,2020
Forever After All,Luke Combs,5/1/2021,35,44.0,2,26,2021
Middle Child,J. Cole,7/27/2019,40,32.0,4,26,2019
Dynamite,BTS,2/27/2021,45,43.0,1,26,2021
Mood,24kGoldn Featuring iann dior,2/20/2021,5,2.0,1,27,2021
Happier,Marshmello & Bastille,3/2/2019,6,6.0,2,27,2019
Don't Start Now,Dua Lipa,5/16/2020,6,7.0,2,27,2020
Levitating,Dua Lipa Featuring DaBaby,4/17/2021,7,7.0,5,27,2021
Go Crazy,Chris Brown & Young Thug,11/21/2020,13,15.0,9,27,2020
Memories,Maroon 5,4/4/2020,14,12.0,2,27,2020
I Hope,Gabby Barrett Featuring Charlie Puth,7/11/2020,21,17.0,16,27,2020
